Giá vé tàu,,trip time,,,,,,,,
Line,Fare,Src,Dst,Dist (km),Time (min),,,avgSpeedLine,,avgSpeedAll
BTS Sukhumvit,17–65 THB ,Khu Khot,Yeak Kor Por Aor,2.5,3,BTS Sukhumvit Line,50,32.48695652,,36.22777778
BTS Silom,17–65 THB per trip,Yeak Kor Por Aor,Royal Thai Air Force Museum,0.9,2,,27,,,
BTS Gold,17 THB flat fare per trip ,Royal Thai Air Force Museum,Bhumibol Adulyadej Hospital,0.95,2,,28.5,,,
MRT Blue,17–45 THB per trip ,Bhumibol Adulyadej Hospital,Saphan Mai,1.7,2,,51,,,
MRT Purple,14–42 THB per trip ,Saphan Mai,Sai Yud ,0.95,2,,28.5,,,
ARL (Airport Rail Link),15–45 THB per trip ,Sai Yud ,Phahon Yotin 59,0.6,1,,36,,,
SRT Dark Red,12–42 THB per trip ,Phahon Yotin 59,Wat Phra Sri,0.9,3,,18,,,
SRT Light Red,12–42 THB per trip,Wat Phra Sri,11th Infantry Regiment,0.9,5,,10.8,,,
MRT Yellow,15–45 THB per trip ,11th Infantry Regiment,Bang Bua,1.4,3,,28,,,
MRT Pink,15–45 THB per trip ,Bang Bua,Royal Forest Department,0.6,2,,18,,,
source,,Royal Forest Department,Kasetsart University,0.85,2,,25.5,,,
ARL (Airport Rail Link),https://www.bangkokairportonline.com/bangkok-airport-rail-link/,Kasetsart University,Sena Nikhom,0.85,2,,25.5,,,
MRT + BTS,https://mrt-bts.info/en/,Sena Nikhom,Ratchayothin,0.85,2,,25.5,,,
SRT ,https://www.srtet.co.th/en/fare-timetable,Ratchayothin,Phahon Yothin 24,0.55,2,,16.5,,,
,,Phahon Yothin 24,Ha Yaek Lat Phrao,0.95,2,,28.5,,,
,,Ha Yaek Lat Phrao,Mo Chit,1.7,3,,34,,,
,,Mo Chit,Saphan Kwai,1.1,3,,22,,,
,,Saphan Kwai,Ari,1.5,2,,45,,,
,,Ari,Sanam Pao,0.7,1,,42,,,
,,Sanam Pao,Victory Monument ,1.3,2,,39,,,
,,Victory Monument,Phayathai,0.7,1,,42,,,
,,Phayathai,Ratchathewi,0.6,2,,18,,,
,,Ratchathewi,Siam,1,2,,30,,,
,,Siam,Chit Lom,0.75,1,,45,,,
,,Chit Lom,Phloen Chit,0.6,1,,36,,,
,,Phloen Chit,Nana,0.7,1,,42,,,
,,Nana,Asok,0.7,2,,21,,,
,,Asok,Phrom Phong ,1.5,2,,45,,,
,,Phrom Phong ,Thong Lo,1.2,2,,36,,,
,,Thong Lo,Ekkamai,0.8,2,,24,,,
,,Ekkamai,Phra Khanong,0.8,2,,24,,,
,,Phra Khanong,On Nut,1.6,1,,96,,,
,,On Nut,Bang Chak,1,2,,30,,,
,,Bang Chak,Punnawithi,0.85,3,,17,,,
,,Punnawithi,Udomsuk,1,2,,30,,,
,,Udomsuk,Bang Na,1.2,2,,36,,,
,,Bang Na,Bearing,0.7,2,,21,,,
,,Bearing,Samrong,1.8,5,,21.6,,,
,,Samrong,Pu Chao,0.9,2,,27,,,
,,Pu Chao,Chang Erawan,1.8,3,,36,,,
,,Chang Erawan,Royal Thai Naval Academy,1.4,2,,42,,,
,,Royal Thai Naval Academy,Pak Nam,1,2,,30,,,
,,Pak Nam,Srinagarindra,1.8,3,,36,,,
,,Srinagarindra,Phraek Sa,0.9,2,,27,,,
,,Phraek Sa,Sai Luat,0.75,2,,22.5,,,
,,Sai Luat,Kheha,1,1,,60,,,
,,Bang Wa,Wutthakat,1.9,2,BTS Silom Line,57,31.55,,
,,Wutthakat,Talat Phlu,0.9,2,,27,,,
,,Talat Phlu,Po Nimitr,0.85,2,,25.5,,,
,,Po Nimitr,Wongwian Yai,1,2,,30,,,
,,Wongwian Yai,Krung Thonburi,0.7,1,,42,,,
,,Krung Thonburi,Surasak,2,5,,24,,,
,,Surasak,Chong Nonsi,1.2,3,,24,,,
,,Chong Nonsi,Saladaeng,1,2,,30,,,
,,Saladaeng,Siam,2.6,6,,26,,,
,,Siam,National Stadium,0.5,1,,30,,,
,,Lak Song,Bang Khae,2,2,MRT Blue Line,60,40.98684211,,
,,Bang Khae,Phasi Charoen,1.2,2,,36,,,
,,Phasi Charoen,Phetkasem 48,1.1,2,,33,,,
,,Phetkasem 48,Bang Wa,1.3,2,,39,,,
,,Bang Wa,Bang Phai,0.9,2,,27,,,
,,Bang Phai,Tha Phra,1.1,2,,33,,,
,,Tha Phra,Charan 13,1.2,2,,36,,,
,,Charan 13,Fai Chai,1.7,2,,51,,,
,,Fai Chai,Bang Khun Non,1,2,,30,,,
,,Bang Khun Non,Bang Yi Khan,1.8,1,,108,,,
,,Bang Yi Khan,Sirinhorn,1,1,,60,,,
,,Sirinhorn,Bang Phat,1.6,2,,48,,,
,,Bang Phat,Bang O,0.9,2,,27,,,
,,Bang O,Bang Pho,1.6,1,,96,,,
,,Bang Pho,Tao Poon,1.3,2,,39,,,
,,Tao Poon,Bang Sue,1.1,2,,33,,,
,,Bang Sue,Kamphaeng Phet,1.3,1,,78,,,
,,Kamphaeng Phet,Chatuchak Park,1.1,2,,33,,,
,,Chatuchak Park,Phahon Yothin ,1.8,3,,36,,,
,,Phahon Yothin ,Lat Phrao,1.8,2,,54,,,
,,Lat Phrao,Rachadaphisek,0.85,2,,25.5,,,
,,Rachadaphisek,Sutthisan,1,2,,30,,,
,,Sutthisan,Huai Khwang,1.3,2,,39,,,
,,Huai Khwang,Thailand Cultural Centre,1.4,2,,42,,,
,,Thailand Cultural Centre,Phraram 9,0.9,2,,27,,,
,,Phraram 9,Petchaburi,1,2,,30,,,
,,Petchaburi,Sukhumvit,1.1,2,,33,,,
,,Sukhumvit,Queen Sirikit Centre,1.7,2,,51,,,
,,Queen Sirikit Centre,Khlong Toei,1,2,,30,,,
,,Khlong Toei,Lumphini,1,2,,30,,,
,,Lumphini,Silom,1,2,,30,,,
,,Silom,Sam Yan,0.85,2,,25.5,,,
,,Sam Yan,Hua Lamphong,1.5,2,,45,,,
,,Hua Lamphong,Wat Mangkon,0.85,2,,25.5,,,
,,Wat Mangkon,Sam Yot,1,2,,30,,,
,,Sam Yot,Sanam Chai,1.1,2,,33,,,
,,Sanam Chai,Itsaraphap,0.7,3,,14,,,
,,Itsaraphap,Tha Phra,2,2,,60,,,
,,Khlong Bang Phai,Talat Bang Yai,1.1,2,MRT Purple Line,33,35.38461538,,
,,Talat Bang Yai,Sam Yaek Bang Yai ,1.4,2,,42,,,
,,Sam Yaek Bang Yai ,Bang Phlu,1.2,2,,36,,,
